document_id,supplier_id,document_type,upload_date,issue_date,expiry_date,document_status,extracted_fields,ai_extraction_confidence,manual_validation_required,data_source_note
DOC0305,SUP058,Recycled/certified fiber certificate,2024-01-17,2024-01-09,2027-01-09,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.9,No,Synthetic document metadata for Document Intelligence demo
DOC0306,SUP059,Supplier Code,2024-11-07,2024-09-24,2026-09-24,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.96,No,Synthetic document metadata for Document Intelligence demo
DOC0307,SUP059,Code of Ethics,,,,Missing,,,Yes,Synthetic document metadata for Document Intelligence demo
DOC0308,SUP059,SA8000 questionnaire,2025-01-01,2024-12-03,2027-12-03,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.89,No,Synthetic document metadata for Document Intelligence demo
DOC0309,SUP059,Terms and Conditions,2024-03-22,2024-02-26,2027-02-26,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.78,No,Synthetic document metadata for Document Intelligence demo
DOC0310,SUP059,Quality certificate,2024-05-04,2024-04-16,2026-04-16,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.81,No,Synthetic document metadata for Document Intelligence demo
DOC0311,SUP059,Traceability evidence,2024-12-24,2024-10-28,2026-10-28,Expired,supplier_name; document_type; issue_date; expiry_date; category_scope,0.9,Yes,Synthetic document metadata for Document Intelligence demo
DOC0312,SUP059,ESG certificates,2024-02-24,2024-01-02,2025-01-02,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.84,No,Synthetic document metadata for Document Intelligence demo
DOC0313,SUP060,Supplier Code,,,,Missing,,,Yes,Synthetic document metadata for Document Intelligence demo
DOC0314,SUP060,Code of Ethics,2024-12-31,2024-11-21,2025-11-21,Expired,supplier_name; document_type; issue_date; expiry_date; category_scope,0.8,Yes,Synthetic document metadata for Document Intelligence demo
DOC0315,SUP060,SA8000 questionnaire,,,,Missing,,,Yes,Synthetic document metadata for Document Intelligence demo
DOC0316,SUP060,Terms and Conditions,2024-03-24,2024-02-23,2025-02-23,Expired,supplier_name; document_type; issue_date; expiry_date; category_scope,0.74,Yes,Synthetic document metadata for Document Intelligence demo
DOC0317,SUP060,Subcontracting Terms,2024-10-08,2024-10-08,2027-10-08,Expired,supplier_name; document_type; issue_date; expiry_date; category_scope,0.72,Yes,Synthetic document metadata for Document Intelligence demo
DOC0318,SUP060,Process capability evidence,2024-07-24,2024-06-27,2025-06-27,Valid,supplier_name; document_type; issue_date; expiry_date; category_scope,0.9,No,Synthetic document metadata for Document Intelligence demo
DOC0319,SUP060,Audit report,2024-04-19,2024-04-13,2025-04-13,Expired,supplier_name; document_type; issue_date; expiry_date; category_scope,0.75,Yes,Synthetic document metadata for Document Intelligence demo
